asset_id,asset_type,building,criticality,asset_age_years,previous_failures,days_since_maintenance,maintenance_count_12m,complaints_30d,severity,usage_hours_day,failure_next_30d
AST-0050,Furniture,Main Library,Low,6.9,3,50,2,0,4,14.4,0
AST-0051,Lab Equipment,Block B,Low,2.7,0,78,4,0,2,6.5,0
AST-0052,Elevator,Girls Hostel,Critical,8.4,5,353,2,0,3,5.7,1
AST-0053,Electrical,Block B,Low,5,2,274,4,2,5,4.5,0
AST-0054,Furniture,Girls Hostel,High,4.9,4,134,3,0,2,13.4,0
AST-0055,Plumbing,Block B,Medium,5.8,2,128,3,0,5,21.8,0
AST-0056,Elevator,Girls Hostel,Critical,6.4,5,212,3,2,3,18.9,1
AST-0057,Security/CCTV,Girls Hostel,Medium,7.4,3,148,2,1,3,16.3,0
AST-0058,Elevator,Boys Hostel,Low,5.3,2,280,4,1,3,18.9,1
AST-0059,Civil,Boys Hostel,Low,3.2,1,200,2,1,4,16.2,1
AST-0060,Lab Equipment,Science Block,High,9.9,4,224,3,1,2,16.5,1
AST-0061,Furniture,Science Block,High,1.7,2,69,2,0,3,23.7,1
AST-0062,Furniture,Science Block,Critical,7.9,5,72,0,2,2,5.2,1
AST-0063,Security/CCTV,Main Library,Critical,3.1,1,302,3,1,3,6.4,1
AST-0064,HVAC,Main Library,Critical,4.4,3,44,2,0,3,4.1,1
AST-0065,Plumbing,Block A,High,4.5,3,262,3,2,4,9.1,1
AST-0066,Security/CCTV,Science Block,Medium,8.7,3,28,1,0,2,4.7,1
AST-0067,Electrical,Block C,High,7.9,4,50,1,0,1,18.2,1
AST-0068,Lab Equipment,Boys Hostel,Low,9.1,3,28,4,0,5,7.3,1
AST-0069,Plumbing,Science Block,Medium,0.6,1,105,1,1,4,19.6,1
AST-0070,Civil,Block B,Medium,0.5,0,168,0,1,1,16.1,0
AST-0071,Security/CCTV,Girls Hostel,Low,5.5,3,212,4,1,5,15.6,1
AST-0072,Elevator,Girls Hostel,Medium,7.6,2,217,2,0,5,15.6,1
AST-0073,Electrical,Boys Hostel,Low,2.7,1,238,1,1,2,8.7,1
AST-0074,Lab Equipment,Main Library,High,3.4,2,157,2,0,2,9.3,0
AST-0075,Civil,Boys Hostel,High,4.2,3,333,3,0,4,13.6,1
AST-0076,Plumbing,Boys Hostel,Medium,6.8,3,57,4,2,4,12.7,0
AST-0077,Plumbing,Auditorium,Medium,9.2,4,10,1,0,4,14,0
AST-0078,Plumbing,Girls Hostel,High,3.6,2,242,1,1,4,23.3,0
AST-0079,Security/CCTV,Boys Hostel,Low,8.1,5,38,1,0,2,11.8,1
AST-0080,Electrical,Block A,High,2.4,3,20,2,0,2,13.1,0
AST-0081,Furniture,Main Library,Critical,1.8,2,120,1,0,3,6.2,0
AST-0082,Lab Equipment,Science Block,Critical,3,3,307,3,0,2,7.9,1
AST-0083,Elevator,Girls Hostel,Critical,7.2,3,157,1,0,4,11.3,1
AST-0084,Elevator,Boys Hostel,Medium,8.3,6,283,2,1,2,8.8,0
AST-0085,Elevator,Girls Hostel,Low,1.9,1,238,0,0,3,20.1,0
AST-0086,Plumbing,Block A,Medium,9.9,5,165,2,0,5,13.6,1
AST-0087,Elevator,Science Block,Critical,3.1,1,119,3,0,2,4.5,0
AST-0088,Furniture,Boys Hostel,Medium,4.4,2,120,4,0,5,14.5,1
AST-0089,Elevator,Block B,Critical,3.4,1,191,0,0,3,23.8,0
AST-0090,Electrical,Block B,Critical,5.9,3,316,1,0,2,8.7,1
AST-0091,Civil,Main Library,Medium,4.2,1,116,1,0,4,5.2,0
AST-0092,Civil,Science Block,Critical,0.7,0,178,1,1,2,17.2,1
AST-0093,Elevator,Boys Hostel,Medium,3.2,0,349,1,1,1,22,1
AST-0094,Furniture,Boys Hostel,Low,0.9,1,20,3,0,3,20.8,0
AST-0095,Lab Equipment,Block C,High,3.9,1,308,3,1,1,16.9,0
AST-0096,Plumbing,Main Library,High,2.7,0,79,4,0,1,12.8,0
AST-0097,Electrical,Science Block,High,10,5,40,0,1,5,20.4,1
AST-0098,Electrical,Block A,High,1.9,1,170,4,0,4,16.1,1
AST-0099,Security/CCTV,Science Block,Critical,7.2,3,332,3,0,1,8.3,0
AST-0100,Elevator,Block A,Critical,4.1,3,347,0,0,1,11.2,1
AST-0101,Civil,Block B,Low,0.5,0,152,3,1,1,22.3,1
AST-0102,Elevator,Block C,Low,4,3,20,3,1,4,16.1,1
AST-0103,Civil,Auditorium,Medium,1.3,2,340,2,0,4,19.9,0
AST-0104,Furniture,Main Library,High,3.2,2,313,2,0,5,15,1
AST-0105,Elevator,Main Library,Critical,1.7,2,231,0,0,2,5.6,0
AST-0106,Civil,Girls Hostel,Medium,5,3,54,1,1,4,23.4,1
AST-0107,Security/CCTV,Block B,Medium,3.7,1,255,2,4,3,23.1,1
AST-0108,Civil,Auditorium,Critical,1.8,1,77,2,0,3,21,0
AST-0109,Electrical,Boys Hostel,Medium,1.5,0,350,3,1,4,5.3,1
AST-0110,HVAC,Main Library,Medium,4.6,1,124,1,0,2,4.5,1
AST-0111,Plumbing,Block B,High,5.6,3,143,0,1,5,11.6,1
AST-0112,HVAC,Boys Hostel,Critical,2.1,0,314,2,0,1,13.5,1
AST-0113,Lab Equipment,Main Library,High,9.5,6,136,2,1,2,19.9,1
AST-0114,Furniture,Block B,Critical,1.5,0,77,4,1,4,22.9,0
AST-0115,Elevator,Block B,Medium,2.6,2,77,0,0,3,20.3,1
AST-0116,Plumbing,Science Block,Medium,0.6,1,203,4,1,1,6.5,1
AST-0117,Lab Equipment,Block C,High,0.5,0,174,2,1,1,4.3,1
AST-0118,Civil,Auditorium,Low,0.6,0,31,4,1,4,15.6,1
AST-0119,Lab Equipment,Auditorium,Low,6.4,4,202,2,2,2,6.2,1
AST-0120,Lab Equipment,Girls Hostel,Critical,3.6,2,298,0,2,3,11.4,1
AST-0121,Lab Equipment,Block B,Critical,9.3,6,242,3,0,3,12.2,1
AST-0122,Furniture,Science Block,Low,9.9,6,340,1,0,2,9.6,1
AST-0123,Security/CCTV,Block A,High,5.7,3,319,0,0,5,16.7,1
AST-0124,Electrical,Girls Hostel,Low,0.5,0,67,2,0,4,23.3,1
AST-0125,Furniture,Auditorium,Medium,2.9,1,119,1,0,5,11.1,1
AST-0126,Furniture,Girls Hostel,High,5.4,3,49,3,0,1,17.8,1
AST-0127,Elevator,Science Block,High,2.6,1,164,2,1,1,12.4,1
AST-0128,Civil,Block C,High,8.9,4,119,2,1,4,14.4,1
AST-0129,Plumbing,Boys Hostel,Medium,2.8,1,278,2,1,4,10.4,1
AST-0130,Electrical,Girls Hostel,High,8.5,4,27,4,0,5,20.9,1
AST-0131,Elevator,Block B,Low,2.9,0,125,1,0,4,15.9,1
AST-0132,Furniture,Block B,Critical,6.5,5,68,0,0,3,14.1,1
AST-0133,Electrical,Girls Hostel,Medium,1.3,1,36,3,0,3,9.4,0
AST-0134,Elevator,Main Library,Low,7.3,3,92,4,0,5,6.7,1
AST-0135,Plumbing,Block B,High,0.8,0,305,3,0,5,21.5,1
AST-0136,Plumbing,Girls Hostel,Critical,7.4,3,44,1,0,2,14.9,1
AST-0137,Lab Equipment,Block A,Low,6.1,2,223,2,0,4,11.2,1
AST-0138,Furniture,Block B,Low,2.3,1,337,3,0,4,15.9,0
AST-0139,Security/CCTV,Boys Hostel,High,1.1,0,82,0,0,4,9.5,0
AST-0140,HVAC,Main Library,Medium,4.4,2,100,1,2,5,18.5,0
AST-0141,Civil,Science Block,Medium,9.4,3,181,1,2,5,23.3,1
AST-0142,Plumbing,Block A,Medium,9.7,6,121,3,0,3,18.9,1
AST-0143,Security/CCTV,Block C,Critical,2.2,2,158,0,0,3,16.4,1
AST-0144,HVAC,Block B,High,3.2,1,103,1,1,5,14.9,1
AST-0145,Lab Equipment,Block A,Low,7,5,57,1,0,5,18,1
AST-0146,Security/CCTV,Girls Hostel,Medium,0.7,0,60,3,0,2,22.5,1
AST-0147,HVAC,Boys Hostel,Critical,8.2,3,22,2,0,1,13.7,1
AST-0148,Plumbing,Science Block,High,9.6,4,62,3,1,4,10.4,1
AST-0149,HVAC,Girls Hostel,Low,1,0,134,4,0,3,4.1,1
AST-0150,Elevator,Girls Hostel,High,9.4,4,299,2,1,5,14.3,1
AST-0151,Lab Equipment,Main Library,Critical,2.2,2,17,2,1,3,21.5,1
AST-0152,Electrical,Block A,Low,6.3,4,146,0,0,1,11.2,0
AST-0153,Lab Equipment,Block A,Medium,2.5,1,288,4,0,1,16.3,0
AST-0154,HVAC,Auditorium,Critical,8.4,4,87,4,0,1,9.9,1
AST-0155,Civil,Block C,Critical,1.8,0,224,0,0,3,21.8,1
AST-0156,Civil,Boys Hostel,Low,3.3,2,200,2,0,2,14.7,1
AST-0157,Furniture,Block A,High,5.7,4,196,4,0,4,22.4,1
AST-0158,Civil,Main Library,Critical,6.8,2,356,0,2,5,6.4,1
AST-0159,Elevator,Boys Hostel,Low,1.5,0,97,1,1,3,12.8,0
AST-0160,Electrical,Science Block,Low,9.9,6,294,2,0,3,19.6,1
AST-0161,Civil,Block C,Medium,1,0,298,0,0,1,23.8,0
AST-0162,Lab Equipment,Main Library,Critical,8.9,6,349,0,0,5,11.6,1
AST-0163,Civil,Block C,Medium,2.8,2,168,0,1,3,14,1
AST-0164,Security/CCTV,Block B,High,5.5,4,185,0,0,4,6.2,0
AST-0165,Electrical,Science Block,High,4.2,3,17,4,0,5,13.1,1
AST-0166,Elevator,Block A,High,7.6,5,221,1,2,2,18.5,1
AST-0167,Security/CCTV,Block C,High,4.2,3,62,4,2,2,19.7,0
AST-0168,Lab Equipment,Block A,High,6.3,2,108,1,1,5,12.9,1
AST-0169,Security/CCTV,Block A,High,9.7,6,338,1,1,3,10.3,1
AST-0170,Lab Equipment,Block C,Medium,5.6,3,222,3,1,2,6.5,1
AST-0171,Furniture,Block C,High,7.7,3,105,2,1,2,18.2,0
AST-0172,Electrical,Block C,High,3.9,3,246,2,0,2,22.9,1
AST-0173,Plumbing,Block A,High,1.5,2,262,1,0,5,20.4,1
AST-0174,Security/CCTV,Block A,Critical,8.3,5,285,4,0,4,12,1
AST-0175,Civil,Block A,High,3.7,1,350,1,0,3,9.3,0
AST-0176,Plumbing,Block C,Low,0.5,0,116,1,0,4,13,1
AST-0177,Electrical,Boys Hostel,Medium,3,3,114,1,0,5,17.8,1
AST-0178,Plumbing,Main Library,Critical,7,2,235,0,0,5,16,1
AST-0179,Electrical,Main Library,Medium,2.1,1,346,4,0,2,20.9,1
AST-0180,Plumbing,Main Library,Medium,6.7,3,297,0,1,5,23.7,1
AST-0181,Security/CCTV,Block A,Medium,8.9,6,179,3,0,5,7.7,1
AST-0182,Plumbing,Science Block,Low,4.2,3,17,2,1,1,8.3,1
AST-0183,Furniture,Block A,High,1.7,1,75,4,0,2,8.6,0
AST-0184,Civil,Boys Hostel,Medium,9.5,6,52,3,0,3,10.8,1
AST-0185,Furniture,Science Block,Low,6,2,116,1,0,4,8.3,1
AST-0186,Electrical,Block A,Medium,4.1,2,44,3,0,4,17,0
AST-0187,Civil,Auditorium,Critical,2,0,137,4,1,5,12.3,0
AST-0188,Security/CCTV,Auditorium,Low,0.9,0,146,4,0,4,5.5,0
AST-0189,Security/CCTV,Auditorium,Low,2.7,3,291,0,0,2,8.1,0
AST-0190,Civil,Block C,Low,1.8,1,252,3,0,4,23.1,0
AST-0191,Civil,Block B,Medium,7.5,5,348,3,0,2,4.4,0
AST-0192,Furniture,Block A,Medium,9.3,6,252,2,0,1,20.2,1
AST-0193,Plumbing,Block C,High,9.6,5,114,2,2,1,9,1
AST-0194,Elevator,Girls Hostel,Medium,8.1,5,292,4,1,4,21.9,1
AST-0195,HVAC,Auditorium,High,7.6,4,338,4,1,5,12.2,1
AST-0196,Electrical,Boys Hostel,Low,7,3,64,3,0,4,16.3,1
AST-0197,Elevator,Main Library,Medium,6.9,3,97,0,2,4,16.1,1
AST-0198,Plumbing,Science Block,Low,9.8,5,131,0,0,1,8.7,0
AST-0199,HVAC,Block A,Medium,6.8,3,77,1,1,1,13.2,1
AST-0200,Elevator,Block B,Low,7.7,3,19,4,0,5,13.9,1
AST-0201,Lab Equipment,Girls Hostel,Low,6.7,3,293,4,1,4,19.6,1
AST-0202,Elevator,Boys Hostel,High,7.3,3,194,3,2,1,13.2,1
AST-0203,Plumbing,Girls Hostel,Medium,7.2,5,181,4,0,4,10.2,1
AST-0204,Lab Equipment,Auditorium,High,4.5,3,194,3,0,2,6.9,0
AST-0205,Elevator,Auditorium,Critical,6.6,2,93,0,1,4,13.4,0
AST-0206,Civil,Block C,Low,5,3,118,2,1,2,18.5,1
AST-0207,Civil,Main Library,Medium,9,6,50,3,0,3,9.6,0
AST-0208,Lab Equipment,Boys Hostel,High,8.1,3,180,3,1,2,23,1
AST-0209,Security/CCTV,Block B,Low,0.6,0,284,2,1,2,14.3,1
AST-0210,HVAC,Block C,Low,8,3,91,2,1,4,9.8,1
AST-0211,Furniture,Main Library,Critical,6.3,3,144,4,0,2,7.9,1
AST-0212,Lab Equipment,Main Library,Low,8.5,4,340,0,0,2,11.7,1
AST-0213,Furniture,Girls Hostel,Medium,5.7,2,54,1,0,3,15.2,1
AST-0214,Security/CCTV,Block C,Medium,4.4,3,115,2,1,2,16.9,0
AST-0215,Lab Equipment,Auditorium,High,3.2,1,50,1,0,4,18,0
AST-0216,HVAC,Boys Hostel,High,7.3,5,289,4,0,5,7.5,0
AST-0217,Lab Equipment,Boys Hostel,Medium,5.3,3,19,4,0,3,6,1
AST-0218,Civil,Science Block,Medium,1.1,0,327,3,2,3,22.5,1
AST-0219,Lab Equipment,Main Library,Low,6.6,5,162,4,0,5,13.8,1
AST-0220,Lab Equipment,Science Block,High,8.8,4,116,3,1,2,18.6,1
AST-0221,Electrical,Science Block,High,5.6,4,54,0,1,1,14.4,1
AST-0222,HVAC,Boys Hostel,High,9.2,4,172,2,0,3,9.4,1
AST-0223,Civil,Girls Hostel,Critical,3.4,3,184,3,1,4,16.4,1
AST-0224,Lab Equipment,Block A,Low,7.7,3,353,2,0,3,4.5,1
AST-0225,Security/CCTV,Boys Hostel,High,4.1,1,44,4,1,5,13.9,0
AST-0226,Lab Equipment,Block A,Critical,7.4,4,334,1,0,2,23.9,1
AST-0227,Security/CCTV,Girls Hostel,Low,0.5,0,262,4,0,4,18.6,1
AST-0228,HVAC,Boys Hostel,Critical,9.7,4,186,3,1,1,19.6,1
AST-0229,HVAC,Science Block,Low,9.1,4,76,4,1,2,15.4,1
AST-0230,Plumbing,Block C,High,2.7,0,352,0,0,3,21.9,1
AST-0231,Plumbing,Boys Hostel,Low,6.5,4,93,1,0,3,13.2,1
AST-0232,Furniture,Main Library,High,6.6,2,60,3,0,2,16.2,1
AST-0233,Electrical,Boys Hostel,Critical,3.6,2,192,2,0,1,7.6,1
AST-0234,Elevator,Science Block,Medium,7.2,5,264,0,0,3,21.5,1
AST-0235,HVAC,Main Library,Low,1.8,1,139,1,1,1,5,1
AST-0236,Lab Equipment,Block B,High,4.9,3,273,4,0,4,5.1,1
AST-0237,Civil,Main Library,Critical,7.7,4,329,3,1,2,23.1,1
AST-0238,HVAC,Block B,High,6.7,3,311,0,0,2,10.6,1
AST-0239,Lab Equipment,Main Library,Low,1.5,0,220,3,1,1,8.2,1
AST-0240,Civil,Block A,Critical,2.6,2,173,2,0,2,22.9,1
AST-0241,Electrical,Boys Hostel,Medium,3.9,1,177,4,1,3,6.4,0
AST-0242,Civil,Auditorium,High,1,1,22,1,0,3,5.6,0
AST-0243,Furniture,Girls Hostel,Critical,1.1,0,269,4,2,4,8.7,1
AST-0244,Civil,Science Block,High,7.1,3,158,2,0,5,10.4,1
AST-0245,Security/CCTV,Girls Hostel,Low,6.7,4,270,2,0,2,18.6,0
AST-0246,Plumbing,Science Block,High,0.5,0,170,1,0,1,13.3,0
AST-0247,Furniture,Girls Hostel,Medium,6.8,3,29,3,2,2,17.6,1
AST-0248,HVAC,Science Block,Critical,6,3,86,3,0,3,14.3,1
AST-0249,Civil,Auditorium,Critical,1.6,2,307,2,0,3,5.4,0
AST-0250,Lab Equipment,Main Library,High,7.9,5,42,4,1,2,21.1,1
AST-0251,Civil,Main Library,Critical,1.7,2,255,1,1,2,19,0
AST-0252,Elevator,Block C,Low,2.7,0,337,2,0,3,18,1
AST-0253,Security/CCTV,Science Block,Low,3.7,1,270,3,2,3,16.7,1
AST-0254,Security/CCTV,Main Library,Low,0.5,0,103,4,0,5,22.9,1
AST-0255,Plumbing,Auditorium,Low,1.9,2,292,4,0,3,7.7,0
AST-0256,HVAC,Block A,Low,1.7,1,248,0,0,1,5.5,0
AST-0257,Elevator,Block C,Medium,1,0,148,2,0,1,19.1,0
AST-0258,HVAC,Boys Hostel,Critical,8.3,3,35,3,0,1,21.8,1
AST-0259,Elevator,Science Block,Low,3.9,2,258,1,1,5,5.8,1
AST-0260,Lab Equipment,Main Library,Critical,2.6,1,317,4,0,2,12.7,1
AST-0261,Plumbing,Block B,Low,1.4,1,28,3,0,5,10.5,0
AST-0262,Plumbing,Boys Hostel,High,7.6,4,346,3,2,1,9,1
AST-0263,Lab Equipment,Auditorium,High,4.3,2,222,1,1,5,14.8,1
AST-0264,HVAC,Block C,Critical,6.5,2,168,3,1,3,8.2,1
AST-0265,Elevator,Block A,Critical,5.4,1,279,0,0,5,20.4,1
AST-0266,Security/CCTV,Auditorium,High,9.8,4,27,3,0,3,7.7,1
AST-0267,Plumbing,Block A,Critical,6.4,4,353,1,1,4,18.1,1
AST-0268,Civil,Block A,High,7.3,5,208,0,1,4,9.1,1
AST-0269,Furniture,Girls Hostel,Low,1.5,0,63,1,0,1,16.2,1
AST-0270,Plumbing,Block B,Critical,1.3,1,23,1,0,5,4.7,1
AST-0271,Security/CCTV,Block C,Medium,8.3,3,98,3,1,3,15,0
AST-0272,Civil,Main Library,Critical,5.8,3,266,2,1,3,12.1,1
AST-0273,Elevator,Science Block,Medium,4.5,1,275,1,0,5,13.6,1
AST-0274,Furniture,Block C,Low,7,2,40,0,0,5,21.4,0
AST-0275,Furniture,Girls Hostel,Medium,4.5,3,272,0,0,3,15.8,1
AST-0276,Civil,Block B,Critical,3.6,3,158,3,0,2,11.9,1
AST-0277,HVAC,Block A,Medium,3.5,2,199,4,1,1,14.9,1
AST-0278,Plumbing,Block B,Low,9.2,5,284,1,1,5,22.7,1
AST-0279,Civil,Auditorium,Low,5.5,3,42,4,1,1,18.7,1
AST-0280,Civil,Science Block,High,0.6,0,256,0,0,4,23.1,0
AST-0281,Elevator,Girls Hostel,Low,9.7,3,323,3,1,4,10.2,1
AST-0282,Furniture,Girls Hostel,Critical,4.5,3,52,3,1,1,10.2,0
AST-0283,Electrical,Boys Hostel,Critical,4.4,2,99,2,0,4,9.6,0
AST-0284,Plumbing,Block C,Medium,1.1,0,179,0,1,2,14,1
AST-0285,Electrical,Main Library,Medium,9.5,5,293,4,1,5,21.5,1
AST-0286,Lab Equipment,Block C,Low,7.4,5,189,4,0,4,6.7,0
AST-0287,Furniture,Auditorium,High,8.5,3,69,4,0,5,9.7,0
AST-0288,Civil,Girls Hostel,Critical,1.3,1,99,2,0,1,20.1,0
AST-0289,HVAC,Science Block,Medium,8.1,3,38,2,0,4,19.4,1
AST-0290,Civil,Block C,Critical,3.7,3,24,4,0,3,9.4,0
AST-0291,Elevator,Boys Hostel,Critical,4.1,3,181,2,1,4,6.7,1
AST-0292,Civil,Girls Hostel,High,6.4,3,310,4,1,2,20.2,1
AST-0293,Security/CCTV,Block C,Medium,4.3,2,150,2,1,2,22.8,0
AST-0294,Elevator,Main Library,Medium,9.1,5,357,2,1,2,19.5,1
AST-0295,Furniture,Block B,Low,9.2,4,176,4,0,4,16.8,1
AST-0296,Civil,Block B,Critical,7,4,77,3,1,5,10.3,1
AST-0297,Electrical,Block B,Critical,9.9,6,53,2,0,1,22,1
AST-0298,Plumbing,Main Library,Low,1.9,0,48,1,0,4,23.6,0
AST-0299,Elevator,Block C,High,4,2,137,1,0,5,7.3,0
AST-0300,Plumbing,Auditorium,Medium,4,2,65,4,1,4,7.4,1
AST-0301,Security/CCTV,Science Block,Critical,6.9,3,259,2,0,4,14.4,0
AST-0302,Elevator,Boys Hostel,Low,2.4,0,47,0,1,2,11.9,1
AST-0303,Civil,Block C,Critical,7.7,4,175,2,0,3,22.5,1
AST-0304,Electrical,Girls Hostel,High,2.4,0,77,0,1,4,14.8,1
AST-0305,Security/CCTV,Girls Hostel,Low,8.6,5,131,1,1,4,14.5,1
AST-0306,HVAC,Girls Hostel,Low,3.9,1,303,2,1,2,13.4,0
AST-0307,Lab Equipment,Block C,Medium,3.2,2,135,4,2,5,12.5,0
AST-0308,Elevator,Science Block,Low,1.1,1,77,1,1,5,17,0
AST-0309,Elevator,Block A,Medium,8.8,5,106,1,0,2,15.7,1
AST-0310,Elevator,Block B,Critical,9.8,5,19,3,0,5,21.3,1
AST-0311,Security/CCTV,Auditorium,Critical,8.7,5,131,3,0,5,12.6,1
AST-0312,Civil,Block A,Critical,2.8,0,230,3,0,3,8.8,0
AST-0313,HVAC,Block C,Medium,4.3,1,220,0,0,2,5.5,0
AST-0314,Plumbing,Block A,Critical,5.3,2,178,3,0,4,12.3,1
AST-0315,Electrical,Main Library,Low,4.2,2,56,1,0,3,10.1,1
AST-0316,Civil,Science Block,Medium,4.7,1,76,0,0,2,20.2,0
AST-0317,Furniture,Science Block,Low,6.1,3,17,2,1,4,6.1,1
AST-0318,Elevator,Main Library,Critical,4.2,1,257,0,0,3,15.7,0
AST-0319,Civil,Block A,Low,6,2,103,3,0,1,14.4,0
AST-0320,Security/CCTV,Main Library,Low,3.7,3,275,4,0,3,17.8,1
AST-0321,Furniture,Main Library,Critical,3.8,3,80,1,1,2,15.4,1
AST-0322,Plumbing,Boys Hostel,Critical,6.8,4,336,1,0,3,14.3,1
AST-0323,Lab Equipment,Auditorium,Low,7.3,4,339,4,1,4,22.2,1
AST-0324,Civil,Boys Hostel,Critical,9.5,4,79,2,0,4,18.6,1
AST-0325,Civil,Block C,Low,0.5,0,277,4,0,4,6,1
AST-0326,Plumbing,Girls Hostel,Critical,8.4,3,197,2,0,3,19.7,1
AST-0327,HVAC,Block C,High,1.6,2,35,2,0,1,17.9,0
AST-0328,Elevator,Main Library,Critical,6.9,2,168,1,2,5,15.9,1
AST-0329,Furniture,Boys Hostel,Low,2,1,247,0,0,1,4.9,0
AST-0330,Electrical,Auditorium,Medium,1.4,0,294,2,0,5,16.5,0
AST-0331,Security/CCTV,Block C,Low,1.9,2,340,2,2,4,22.4,1
AST-0332,Elevator,Block C,High,7.3,3,340,4,0,5,13.9,1
AST-0333,Electrical,Girls Hostel,Low,9.3,5,105,2,0,2,18.2,1
AST-0334,Plumbing,Block A,High,8.1,3,119,3,0,2,19.5,1
AST-0335,Lab Equipment,Main Library,High,9.7,4,323,0,0,5,4.6,1
AST-0336,Furniture,Block C,Medium,9.8,6,97,1,1,5,6.8,0
AST-0337,HVAC,Auditorium,Medium,8.8,3,228,2,0,3,20.9,1
AST-0338,Civil,Girls Hostel,Low,2.6,0,119,4,0,5,12,0
AST-0339,Civil,Girls Hostel,Low,6.4,2,234,2,0,2,4.5,0
AST-0340,HVAC,Block A,High,8.4,5,154,1,2,3,20.9,1
AST-0341,Plumbing,Main Library,High,4.7,3,270,2,1,3,10.8,0
AST-0342,Civil,Block B,Low,3.7,1,53,0,0,1,7.1,0
AST-0343,Elevator,Main Library,Medium,5.5,3,97,1,2,4,12.2,1
AST-0344,Lab Equipment,Block A,Critical,6.8,5,99,2,0,3,6.1,1
AST-0345,Elevator,Block B,Critical,6.5,4,328,2,0,4,20.8,0
